Elapsed,Temp,Latency,Mode
368.6,69.66,3350.78,2
369.61,69.72,3350.78,2
370.62,69.47,3432.28,2
371.63,69.94,3432.28,2
372.64,69.84,3432.28,2
373.65,70.09,3432.28,2
374.66,69.84,3771.99,2
375.67,70.38,3771.99,2
376.68,70.06,3771.99,2
377.69,69.5,3385.37,2
378.69,70.03,3385.37,2
379.71,70.12,3385.37,2
380.72,70.19,3320.29,2
381.73,70.03,3362.21,2
382.74,70.44,3362.21,2
383.75,70.28,3362.21,2
384.76,70.09,3323.98,2
385.77,70.31,3323.98,2
386.78,70.44,3323.98,2
387.79,69.78,3393.88,2
388.8,70.53,3393.88,2
389.81,70.44,3393.88,2
390.82,70.44,3367.44,2
391.83,70.81,3367.44,2
392.84,70.62,3367.44,2
393.85,70.5,3367.44,2
394.86,70.41,3573.45,2
395.87,70.56,3573.45,2
396.88,70.88,3573.45,2
397.89,70.38,3366.77,2
398.9,70.78,3366.77,2
399.91,70.81,3366.77,2
400.92,70.78,3366.77,2
401.93,70.84,3339.55,2
402.94,70.88,3339.55,2
403.95,70.97,3339.55,2
404.96,70.47,3429.62,2
405.97,71.03,3429.62,2
406.98,71.09,3429.62,2
407.99,70.88,3440.08,2
409.0,71.22,3440.08,2
410.01,71.16,3440.08,2
411.02,71.38,3440.08,2
412.03,70.97,3351.15,2
413.04,71.44,3351.15,2
414.05,71.34,3351.15,2
415.06,71.06,3374.87,2
416.07,71.22,3374.87,2
417.08,71.31,3374.87,2
418.09,71.19,3317.76,2
419.1,71.44,3317.76,2
420.11,71.53,3317.76,2
421.12,71.72,3317.76,2
422.13,71.66,3219.2,2
423.14,71.84,3219.2,2
424.15,71.78,3219.2,2
425.16,71.78,3256.71,2
426.17,71.66,3256.71,2
427.18,71.91,3256.71,2
428.19,71.19,3365.08,2
429.2,72.03,3365.08,2
430.21,71.72,3365.08,2
431.22,71.62,3346.71,2
432.23,71.75,3346.71,2
433.24,71.97,3346.71,2
434.25,72.0,3346.71,2
435.26,71.88,3340.62,2
436.27,72.0,3340.62,2
437.28,72.16,3340.62,2
438.29,71.84,3299.98,2
439.3,72.19,3299.98,2
440.31,72.09,3299.98,2
441.32,71.78,3339.38,2
442.33,72.03,3339.38,2
443.34,72.44,3339.38,2
444.35,72.19,3339.38,2
445.36,72.38,3503.92,2
446.38,72.19,3503.92,2
447.39,72.31,3503.92,2
448.4,71.69,3391.75,2
449.41,72.34,3391.75,2
450.42,72.31,3391.75,2
451.43,72.28,3415.45,2
452.45,72.44,3415.45,2
453.46,72.5,3415.45,2
454.47,72.5,3415.45,2
455.48,72.44,4112.9,2
456.48,72.81,4240.22,2
457.5,72.81,4240.22,2
458.51,72.72,4240.22,2
459.52,72.66,3264.33,2
460.53,72.66,3264.33,2
461.54,72.91,3264.33,2
462.55,72.59,3436.31,2
463.56,73.03,3436.31,2
464.57,72.75,3436.31,2
465.57,72.81,3118.78,2
466.58,72.84,3413.93,2
467.59,73.06,3413.93,2
468.6,73.0,3413.93,2
469.62,72.88,3255.21,2
470.62,73.25,3255.21,2
471.63,73.16,3255.21,2
472.65,72.56,3279.03,2
473.66,73.28,3279.03,2
474.67,73.0,3279.03,2
475.68,73.28,3378.05,2
476.69,73.12,3378.05,2
477.7,73.38,3378.05,2
478.71,73.19,3184.28,2
479.72,73.31,3217.93,2
480.73,73.38,3217.93,2
481.73,73.38,3217.93,2
482.74,73.16,3244.14,2
483.76,73.53,3244.14,2
484.77,73.5,3244.14,2
485.78,73.38,3123.35,2
486.78,73.66,3123.35,2
487.79,73.59,3123.35,2
488.8,73.41,3325.85,2
489.81,73.5,3325.85,2
490.82,73.47,3325.85,2
491.83,73.44,3576.3,2
492.84,73.44,3394.79,2
493.85,73.47,3394.79,2
494.87,73.59,3394.79,2
495.88,73.75,3450.47,2
496.89,73.62,3450.47,2
497.9,73.47,3450.47,2
498.91,73.41,2805.57,2
499.92,73.0,3591.44,2
500.93,73.06,3591.44,2
501.94,73.12,2940.53,2
502.95,72.69,3707.0,2
503.96,72.78,3707.0,2
504.97,72.34,3394.13,2
505.98,72.28,3040.15,2
506.99,71.97,3040.15,2
508.0,71.97,3551.97,2
509.01,71.56,3551.97,2
510.01,71.56,3597.8,2
511.03,71.34,3597.8,2
512.03,71.25,3407.96,2
513.04,70.94,3444.27,2
514.05,70.94,3444.27,2
515.06,70.56,3383.65,2
516.07,70.62,3383.65,2
517.08,70.69,3911.66,2
518.1,70.34,3911.66,2
519.1,70.38,3470.18,2
520.11,70.06,3470.18,2
521.12,69.75,3742.76,2
522.14,69.88,3388.87,2
523.15,69.47,3388.87,2
524.16,69.59,3323.69,2
525.17,69.19,3323.69,2
526.18,69.34,3620.84,2
527.19,69.0,3620.84,2
528.2,69.34,3425.54,2
529.21,68.72,3220.4,2
