Elapsed,Temp,Latency,Mode
586.03,73.19,3383.49,0
587.04,72.88,3383.49,0
588.05,72.75,3632.41,0
589.06,72.59,3632.41,0
590.07,72.59,3632.41,0
591.08,71.94,3368.63,0
592.1,72.03,3368.63,0
593.11,72.12,3368.63,0
594.12,71.84,3370.32,0
595.13,72.25,3370.32,0
596.14,72.44,3370.32,0
597.15,72.38,3370.32,0
598.16,72.16,3433.4,0
599.17,72.44,3433.4,0
600.18,72.44,3433.4,0
601.2,71.72,3433.25,0
602.21,71.91,3433.25,0
603.22,71.66,3433.25,0
604.23,71.16,3433.25,0
605.24,71.0,3634.25,0
606.25,70.88,3634.25,0
607.26,70.72,3634.25,0
608.27,70.28,3383.51,0
609.28,70.34,3383.51,0
610.29,70.28,3383.51,0
611.3,69.78,3346.65,0
612.31,69.88,3346.65,0
613.33,69.78,3346.65,0
614.34,69.69,3346.65,0
615.35,69.44,3394.52,0
616.36,69.41,3394.52,0
617.37,69.19,3394.52,0
618.38,69.09,3492.79,0
619.39,69.25,3492.79,0
620.4,69.0,3492.79,0
621.41,68.31,3229.16,0
622.42,68.62,3229.16,0
623.43,68.41,3229.16,0
624.44,68.5,3229.16,0
625.45,67.97,3465.89,0
626.46,68.25,3465.89,0
627.47,67.91,3465.89,0
628.48,67.56,3461.39,0
629.49,67.75,3461.39,0
630.5,67.59,3461.39,0
631.51,67.41,3403.43,0
632.52,67.16,3416.38,0
633.53,67.19,3416.38,0
634.54,67.25,3416.38,0
635.55,66.53,3806.76,0
636.56,66.81,3806.76,0
637.57,66.91,3806.76,0
638.58,66.94,3806.76,0
639.59,66.56,3795.49,0
640.6,66.66,3795.49,0
641.61,66.53,3795.49,0
642.62,66.25,3344.07,0
643.63,66.34,3344.07,0
644.64,66.5,3344.07,0
645.65,66.03,3344.07,0
646.66,65.72,3350.34,0
647.67,65.97,3350.34,0
648.68,65.56,3350.34,0
649.69,65.5,3340.08,0
650.7,65.59,3340.08,0
651.72,65.81,3340.08,0
652.73,64.75,3335.94,0
653.74,65.47,3335.94,0
654.75,65.12,3335.94,0
655.76,65.06,3335.94,0
656.77,64.88,3375.37,0
657.78,65.0,3375.37,0
658.79,64.88,3375.37,0
659.8,64.69,3372.17,0
660.81,64.62,3372.17,0
661.82,64.75,3372.17,0
662.83,64.09,3384.75,0
663.84,64.47,3384.75,0
664.85,64.28,3384.75,0
665.86,64.47,3384.75,0
666.87,64.03,3505.2,0
667.88,64.44,3505.2,0
668.89,64.09,3505.2,0
669.9,63.38,3424.8,0
670.91,63.69,3424.8,0
671.92,63.75,3424.8,0
672.93,63.34,3391.72,0
673.94,63.66,3391.72,0
674.95,63.5,3391.72,0
675.96,63.59,3391.72,0
676.97,63.31,3385.14,0
677.98,63.47,3385.14,0
678.99,63.09,3385.14,0
680.0,62.78,3350.08,0
681.01,63.06,3350.08,0
682.02,63.25,3350.08,0
683.03,62.69,3416.29,0
684.04,63.12,3416.29,0
685.05,62.84,3416.29,0
686.06,62.78,3416.29,0
687.07,62.31,3350.13,0
688.08,62.5,3350.13,0
689.09,62.34,3350.13,0
690.1,61.84,3416.12,0
691.11,62.62,3416.12,0
692.12,62.44,3416.12,0
693.13,62.12,3416.12,0
694.14,62.28,3427.6,0
695.15,62.12,3427.6,0
696.16,62.28,3427.6,0
697.17,61.38,3543.89,0
698.18,62.06,3543.89,0
699.19,61.69,3543.89,0
700.2,61.62,3402.3,0
701.21,61.66,3402.3,0
702.22,61.84,3402.3,0
703.23,61.66,3402.3,0
704.24,61.59,3385.35,0
705.25,61.47,3385.35,0
706.26,61.62,3385.35,0
707.27,60.72,3405.66,0
708.28,61.34,3405.66,0
709.29,61.22,3405.66,0
710.3,61.22,3331.89,0
711.31,61.12,3415.0,0
712.32,61.22,3415.0,0
713.33,61.12,3415.0,0
714.34,61.12,3442.26,0
715.35,60.78,3442.26,0
716.36,61.16,3442.26,0
717.37,60.56,3323.21,0
718.38,60.66,3323.21,0
719.39,60.62,3323.21,0
720.4,60.69,3094.75,0
721.41,60.44,3455.97,0
722.42,60.66,3455.97,0
723.43,60.72,2973.08,0
724.44,60.47,3539.79,0
725.46,60.72,3539.79,0
726.47,60.19,3376.86,0
727.48,60.22,3270.24,0
728.49,60.22,3270.24,0
729.5,60.09,3130.03,0
730.51,60.19,3130.03,0
731.52,60.19,3253.18,0
732.53,60.06,3253.18,0
733.54,59.88,3198.11,0
734.55,59.91,3286.08,0
735.56,60.03,3286.08,0
736.57,59.72,3677.29,0
737.58,59.81,3204.3,0
738.59,59.84,3204.3,0
739.6,60.03,3204.3,0
740.61,59.59,3348.35,0
741.62,59.94,3348.35,0
742.63,59.53,3348.35,0
743.64,59.44,3280.24,0
744.65,59.56,3419.04,0
745.66,59.41,3419.04,0
746.67,59.69,3307.73,0
747.68,59.22,3154.77,0
748.69,59.28,3154.77,0
749.7,59.16,3154.77,0
750.71,59.09,3298.4,0
751.72,59.09,3298.4,0
752.73,59.19,3298.4,0
753.74,58.62,3247.6,0
754.75,59.12,3247.6,0
755.76,59.31,3247.6,0
756.77,58.97,3297.1,0
757.78,59.25,3261.25,0
758.79,59.03,3261.25,0
759.8,58.59,3155.76,0
760.81,59.0,3395.71,0
761.82,58.75,3395.71,0
762.83,58.94,3395.71,0
763.84,58.41,3198.04,0
764.85,58.91,3198.04,0
765.86,58.59,3198.04,0
766.87,58.25,3357.12,0
767.91,58.69,3357.12,0
768.92,58.5,3357.12,0
769.93,58.44,3301.89,0
770.94,58.41,3327.44,0
771.95,58.66,3327.44,0
772.96,58.47,3327.44,0
773.97,58.44,3364.28,0
774.98,58.41,3364.28,0
775.99,58.69,3364.28,0
777.0,57.56,3271.95,0
778.01,58.22,3271.95,0
779.02,58.25,3271.95,0
780.03,58.03,3271.95,0
781.04,58.0,3345.13,0
782.05,57.97,3345.13,0
783.06,58.12,3345.13,0
784.07,58.0,3378.45,0
785.08,58.12,3378.45,0
786.09,58.31,3378.45,0
787.1,57.53,3375.08,0
788.11,58.19,3375.08,0
789.12,58.12,3375.08,0
790.13,58.19,3375.08,0
791.14,57.84,3356.42,0
792.15,58.22,3356.42,0
793.16,57.91,3356.42,0
794.17,57.19,3534.34,0
795.18,57.78,3534.34,0
796.19,57.75,3534.34,0
797.21,58.03,3510.66,0
798.22,57.81,3510.66,0
799.23,58.09,3510.66,0
800.24,57.78,3510.66,0
801.26,57.62,3519.38,0
802.27,57.66,3519.38,0
803.28,57.69,3519.38,0
804.29,57.47,3483.0,0
805.3,57.5,3483.0,0
806.32,57.78,3483.0,0
807.33,57.69,3483.0,0
808.35,57.28,3554.69,0
809.36,57.62,3554.69,0
810.37,57.81,3554.69,0
811.38,56.97,3440.39,0
812.39,57.81,3440.39,0
813.41,57.69,3440.39,0
814.42,57.56,3440.39,0
815.43,57.59,3544.92,0
816.44,57.53,3544.92,0
817.45,57.41,3544.92,0
818.47,57.25,3733.46,0
